,beats_gptq,cone_aware,dampening,gptq_ref,group_dim,hadamard,ip_metric,lloyd_max,margin_vs_gptq,niter,qjl,ratio,strict_sequential,whitening
beats_gptq,1,-0.151292,0.375982,-0.591755,-0.12303,-0.196925,-0.086647,-0.151292,0.865686,0.261564,-0.12303,-0.787523,-0.108008,-0.221917
cone_aware,-0.151292,1,-0.244567,0.192429,-0.019834,0.768273,-0.013969,0.658537,-0.25407,,0.396682,0.25407,-0.177442,
dampening,0.375982,-0.244567,1,-0.396404,-0.211537,-0.318333,-0.140066,-0.244567,0.493475,0.393155,-0.198881,-0.480971,-0.320083,0.181309
gptq_ref,-0.591755,0.192429,-0.396404,1,0.156483,0.250469,0.110206,0.192429,-0.665175,-0.45009,0.156483,0.847606,0.23117,0.17945
group_dim,-0.12303,-0.019834,-0.211537,0.156483,1,-0.025816,-0.011359,-0.019834,-0.202535,,-0.016129,0.202535,0.111778,
hadamard,-0.196925,0.768273,-0.318333,0.250469,-0.025816,1,-0.018182,0.768273,-0.328095,,0.299471,0.328095,-0.230962,
ip_metric,-0.086647,-0.013969,-0.140066,0.110206,-0.011359,-0.018182,1,-0.013969,-0.124195,,-0.011359,0.131573,-0.101623,
lloyd_max,-0.151292,0.658537,-0.244567,0.192429,-0.019834,0.768273,-0.013969,1,-0.248345,,0.396682,0.248345,-0.177442,
margin_vs_gptq,0.865686,-0.25407,0.493475,-0.665175,-0.202535,-0.328095,-0.124195,-0.248345,1,0.255285,-0.216503,-0.926725,-0.144542,-0.229249
niter,0.261564,,0.393155,-0.45009,,,,,0.255285,1,,-0.337093,-0.360992,
qjl,-0.12303,0.396682,-0.198881,0.156483,-0.016129,0.299471,-0.011359,0.396682,-0.216503,,1,0.216503,-0.144295,
ratio,-0.787523,0.25407,-0.480971,0.847606,0.202535,0.328095,0.131573,0.248345,-0.926725,-0.337093,0.216503,1,0.160822,0.294748
strict_sequential,-0.108008,-0.177442,-0.320083,0.23117,0.111778,-0.230962,-0.101623,-0.177442,-0.144542,-0.360992,-0.144295,0.160822,1,0.041345
whitening,-0.221917,,0.181309,0.17945,,,,,-0.229249,,,0.294748,0.041345,1
